                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.84715,                 0.6229,                  1.175,                0.88792,                0.84661,                0.90303,                0.64525,                    nan,                    nan,                    nan,              0.0015446,              0.0015446,              0.0015446
                     49,                0.85698,                0.63038,                 1.1797,                0.85755,                0.85016,                0.88274,                0.62655,                    nan,                    nan,                    nan,              0.0015347,              0.0015347,              0.0015347
                     50,                0.85153,                 0.6307,                 1.1826,                0.84043,                0.79389,                0.85188,                0.60057,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     51,                0.83334,                0.61877,                 1.1712,                0.85269,                0.85115,                0.88945,                0.64425,                    nan,                    nan,                    nan,              0.0015149,              0.0015149,              0.0015149
                     52,                0.85518,                0.62734,                 1.1954,                0.80867,                 0.8711,                0.85975,                0.61856,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     53,                  0.847,                0.61949,                 1.1776,                0.82368,                0.87786,                0.87247,                0.62789,                    nan,                    nan,                    nan,              0.0014951,              0.0014951,              0.0014951
                     54,                0.84333,                0.62104,                 1.1713,                0.86826,                0.83969,                0.88731,                 0.6332,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     55,                0.84124,                0.62003,                 1.1685,                0.86818,                0.83588,                0.87678,                0.64161,                    nan,                    nan,                    nan,              0.0014753,              0.0014753,              0.0014753
                     56,                 0.8323,                0.61272,                 1.1671,                0.82948,                 0.8626,                0.88649,                0.64148,                    nan,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     57,                0.82119,                 0.5854,                 1.1586,                0.83143,                0.84716,                 0.8782,                0.64507,                    nan,                    nan,                    nan,              0.0014555,              0.0014555,              0.0014555
                     58,                0.81619,                 0.5981,                 1.1524,                0.89629,                0.84351,                0.89789,                0.63735,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     59,                0.83156,                0.59663,                 1.1617,                0.89179,                0.78634,                0.89383,                0.61865,                    nan,                    nan,                    nan,              0.0014357,              0.0014357,              0.0014357
                     60,                 0.8218,                0.60542,                 1.1563,                0.85714,                0.84729,                0.89149,                0.64516,                    nan,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                     61,                0.81275,                0.60632,                 1.1492,                0.86163,                0.83588,                0.87785,                0.63177,                    nan,                    nan,                    nan,              0.0014159,              0.0014159,              0.0014159
                     62,                0.82241,                0.59797,                 1.1551,                0.84894,                 0.8626,                0.86947,                0.58981,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     63,                0.81798,                0.59448,                 1.1542,                0.88378,                0.86641,                0.89002,                0.64304,                    nan,                    nan,                    nan,              0.0013961,              0.0013961,              0.0013961
                     64,                0.81581,                0.59805,                 1.1569,                0.89743,                0.83969,                0.89986,                0.64881,                    nan,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                     65,                0.80589,                0.59837,                 1.1443,                0.87189,                0.84733,                0.88019,                 0.6243,                    nan,                    nan,                    nan,              0.0013763,              0.0013763,              0.0013763
                     66,                0.81123,                0.59331,                 1.1551,                0.86018,                0.87023,                0.86481,                0.62779,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     67,                0.80926,                0.59546,                 1.1501,                0.86382,                0.87405,                0.89555,                0.65031,                    nan,                    nan,                    nan,              0.0013565,              0.0013565,              0.0013565
                     68,                0.79851,                0.58609,                 1.1434,                0.88611,                0.82443,                0.90195,                0.63515,                    nan,                    nan,                    nan,              0.0013466,              0.0013466,              0.0013466
                     69,                0.79577,                0.57698,                 1.1419,                0.84405,                0.86641,                0.90041,                0.65211,                    nan,                    nan,                    nan,              0.0013367,              0.0013367,              0.0013367
